n2-vocab_reading-0302|遭う|遭った|彼は子供の頃よく災難に《遭った》ものだ。
n2-vocab_reading-0711|茂る|茂り|庭の木々が《茂り》すぎて、日当たりが悪くなってしまった。
n2-vocab_reading-0717|静まる|静まって|夜が更けるにつれて、街の騒音も次第に《静まって》きた。
n2-vocab_reading-0737|絞る|絞っ|スポンジをしっかり《絞っ》てから、机を拭いてください。
n2-vocab_reading-0741|湿る|湿って|雨の日は洗濯物が《湿って》しまい、乾きにくい。
n2-vocab_reading-0791|小便|消防署|《消防署》では二十四時間体制で消防士が待機している。
n2-vocab_reading-0792|消防署|省略|長くなりましたので、詳細な説明は《省略》させていただきます。
n2-vocab_reading-0895|具える|具え|この新しい体育館は最新の空調設備を《具え》ている。
n2-vocab_reading-0899|揃える|揃えた|子どもたちは新しいノートを机の上にきちんと《揃えた》。
n2-vocab_reading-0900|存ずる|存じます|その点につきましては、私もそう《存じます》。
n2-vocab_reading-0922|畳む|畳んで|使い終わったら折りたたみ傘をきちんと《畳んで》ください。
n2-vocab_reading-0943|千切る|千切った|彼は手紙を読んだ後、怒ってびりびりに《千切った》。
n2-vocab_reading-0948|茶色い|茶色く|秋が深まると公園の葉っぱが《茶色く》変わっていく。
n2-vocab_reading-0951|抽象|抽象的|この画家の作品は非常に《抽象的》で、見る人によって解釈が異なる。
n2-vocab_reading-0970|散らかる|散らかって|机の上に書類が《散らかって》いて、必要な書類がすぐに見つからない。
n2-vocab_reading-0971|散らす|散らし|強い風が雲を《散らし》て、青空が広がってきた。
n2-vocab_reading-0973|散る|散って|桜の花びらが風に舞いながら、美しく《散って》いった。
n2-vocab_reading-0978|通ずる|通じて|この抜け道は大通りに《通じて》いるので、渋滞を避けられる。
n2-vocab_reading-0986|造る|造って|この酒蔵では昔ながらの伝統的な方法で日本酒を《造って》いる。
n2-vocab_reading-0987|浸ける|浸けて|梅酒を作るには、梅をホワイトリカーに《浸けて》数か月間熟成させる必要がある。
n2-vocab_reading-1184|払い戻す|払い戻さ|航空券のキャンセルをしたら、手数料を引いた金額が《払い戻さ》れた。
n2-vocab_reading-1186|張り切る|張り切って|試験に向けて《張り切って》勉強しているが、体調を崩さないように気をつけたい。
n2-vocab_reading-1199|引受る|引き受ける|彼は難しいプロジェクトを《引き受ける》ことに躊躇しなかった。
n2-vocab_reading-1200|引返す|引き返す|途中で道を間違えたので、来た道を《引き返す》ことにした。
n2-vocab_reading-1202|引出す|引き出す|銀行でお金を《引き出す》のに、身分証明書が必要だ。
n2-vocab_reading-1203|引き止める|引き止めた|友人が早く帰ろうとしたので、もう少しいてほしいと《引き止めた》。
n2-vocab_reading-1208|引っ掛かる|引っ掛かって|セーターの袖がドアの取っ手に《引っ掛かって》、糸がほつれてしまった。
n2-vocab_reading-1210|引っ繰り返す|引っ繰り返した|子どもが走り回って、テーブルの上のコップを《引っ繰り返した》。
n2-vocab_reading-1223|日日|日々|この薬は一日の《日々》を決めて、決められた量を飲んでください。
n2-vocab_reading-1224|捻る|捻った|瓶の蓋が固くて、力を込めて《捻った》が、なかなか開かなかった。
n2-vocab_reading-1228|響く|響いて|隣の部屋のテレビの音が《響いて》きて、勉強に集中できない。
n2-vocab_reading-1239|広げる|広げて|テーブルの上に地図を《広げて》、旅行のルートを確認した。
n2-vocab_reading-1243|広める|広めている|彼はボランティア活動を通して、地域交流の大切さを《広めている》。
n2-vocab_reading-1247|殖える|殖えない|貯金をしても利息がほとんどつかないので、なかなかお金が《殖えない》。
n2-vocab_reading-1252|拭く|拭いて|テーブルを濡れた布で《拭いて》から、乾いた布で改めて拭いた。
n2-vocab_reading-1255|含める|含まれている|参加費には昼食代も《含まれている》ので、別途支払う必要はない。
n2-vocab_reading-1256|膨らます|膨らませよう|子供たちが風船を《膨らませよう》と、頬いっぱいに息を吸い込んだ。
n2-vocab_reading-1261|塞がる|塞がって|事故の影響で道路が《塞がって》いて、迂回しなければならなかった。
n2-vocab_reading-1278|殖やす|殖やして|投資を始めて、少しずつ資産を《殖やして》いきたいと考えている。
n2-vocab_reading-1384|蒸し暑い|蒸し暑く|昨夜は《蒸し暑く》て、なかなか眠れなかった。
n2-vocab_reading-1399|恵まれる|恵まれて|彼女は才能に《恵まれて》いるだけでなく、努力も惜しまない。
n2-vocab_reading-1401|目指す|目指して|彼は一流の料理人を《目指して》毎日修業を続けている。
n2-vocab_reading-1404|目立つ|目立って|彼女は派手な服装でいつも《目立って》いる。
n2-vocab_reading-1409|面倒臭い|面倒臭くて|書類の整理が《面倒臭くて》なかなか始められない。
n2-vocab_reading-1411|儲ける|儲けた|彼は株の取引で大金を《儲けた》そうだ。
n2-vocab_reading-1415|潜る|潜って|海に《潜って》美しい珊瑚礁を見てみたい。
n2-vocab_reading-1419|物語る|物語って|この古い写真は、家族の長い歴史を《物語って》いる。
n2-vocab_reading-1422|揉む|揉んで|肩が凝ったので、母に《揉んで》もらったら楽になった。
n2-vocab_reading-1441|破れる|破れて|古くなったズボンの膝部分が《破れて》しまった。
n2-vocab_reading-1442|軟らかい|軟らかくて|このパンはとても《軟らかくて》、まるでスポンジのようだ。
n2-vocab_reading-1473|汚す|汚して|白いシャツにコーヒーをこぼして《汚して》しまった。
n2-vocab_reading-1474|寄せる|寄せて|机を壁に《寄せて》部屋を広く使っている。
n2-vocab_kanji-919|まげる|まげると|細い金属の棒を無理に《まげると》、折れてしまう可能性がある。
